セクション,セクション_ja,項目,項目_ja,2026年モデル 東方曜 2.0TD 自動 霄漢版,2026年モデル 東方曜 2.0TD 自動 揽星版,2026年モデル 東方曜 2.0TD 自動 望月版,2025年モデル 2.0TD 自動 行雲版,2025年モデル 東方曜 2.0TD 自動 今朝版,2025年モデル 東方曜 2.0TD 自動 揽星版,2025年モデル 東方曜 2.0TD 自動 4WD 望月版,2024年モデル ハイブリッド 1.5T 星雲版,2024年モデル ハイブリッド 1.5T 星河版,2024年モデル ハイブリッド 1.5T 天宮版,2024年モデル 2.0TD DCT EVO 2WD 長風版,2024年モデル 2.0TD 高出力 自動 2WD 雲起版,2024年モデル 2.0TD 高出力 自動 2WD 天際版
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),-,-,-,-,-,-,-,136,136,136,-,-,-
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),全長4795×全幅1895×全高1689mm,全長4795×全幅1895×全高1689mm,全長4795×全幅1895×全高1689mm,全長4770×全幅1895×全高1689mm,全長4770×全幅1895×全高1689mm,全長4770×全幅1895×全高1689mm,全長4770×全幅1895×全高1689mm,全長4795×全幅1895×全高1689mm,全長4795×全幅1895×全高1689mm,全長4795×全幅1895×全高1689mm,全長4770×全幅1895×全高1689mm,全長4770×全幅1895×全高1689mm,全長4770×全幅1895×全高1689mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.3,7.3,7.5,7.5,7.5,7.5,7.7,7.9,7.9,7.9,7.9,7.5,7.5
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),225,225,225,215,215,215,215,190,190,190,215,215,215
基本参数,基本仕様,NEDC综合油耗(L/100km),NEDC総合燃費(L/100km),-,-,-,-,-,-,-,4.3,4.3,4.3,6.8,6.9,6.9
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.79,7.79,8.59,7.79,7.79,7.79,8.59,4.79,4.79,4.79,7.5,7.70,7.70
基本参数,基本仕様,整车质保,車両保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証,● 5年または15万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1675,1675,1760,1675,1675,1675,1760,1775,1775,1775,1675,1695,1695
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2096,2096,2189,2096,2096,2096,2189,2199,2199,2199,2130,2160,2160
车身,車体,长度(mm),全長(mm),4795,4795,4795,4770,4770,4770,4770,4795,4795,4795,4770,4770,4770
车身,車体,宽度(mm),全幅(mm),1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
车身,車体,高度(mm),全高(mm),1689,1689,1689,1689,1689,1689,1689,1689,1689,1689,1689,1689,1689
车身,車体,轴距(mm),ホイールベース(mm),2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845
车身,車体,前轮距(mm),前トレッド(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
车身,車体,后轮距(mm),後トレッド(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
车身,車体,接近角(°),アプローチアングル(°),19,19,19,19,19,19,19,19,19,19,19,19,19
车身,車体,离去角(°),デパーチャーアングル(°),19,19,19,19,19,19,19,19,19,19,19,19,19
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),55,55,62,55,55,55,62,55,55,55,55,55,55
车身,車体,后备厢容积(L),トランク容量(L),562,562,562,562,562,562,562,-,-,-,562,562,562
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,JLH-4G20TDH型式,JLH-4G20TDH型式,JLH-4G20TDH型式,JLH-4G20TDB型式,JLH-4G20TDB型式,JLH-4G20TDB型式,JLH-4G20TDB型式,BHE15-BFZ型式,BHE15-BFZ型式,BHE15-BFZ型式,JLH-4G20TDJ型式,JLH-4G20TDB型式,JLH-4G20TDB型式
发动机,エンジン,排量(mL),排気量(mL),1969,1969,1969,1969,1969,1969,1969,1499,1499,1499,1969,1969,1969
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),272,272,272,238,238,238,238,163,163,163,218,238,238
发动机,エンジン,最大功率(kW),最大出力(kW),200,200,200,175,175,175,175,120,120,120,160,175,175
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),400,400,400,350,350,350,350,255,255,255,325,350,350
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),195,195,195,175,175,175,175,115,115,115,160,175,175
发动机,エンジン,发动机特有技术,エンジン独自技術,-,-,-,-,-,-,-,ミラーサイクル,ミラーサイクル,ミラーサイクル,-,-,-
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン95号,レギュラーガソリン95号,レギュラーガソリン95号,レギュラーガソリン95号,レギュラーガソリン95号,レギュラーガソリン95号,レギュラーガソリン95号,レギュラーガソリン92号,レギュラーガソリン92号,レギュラーガソリン92号,レギュラーガソリン95号,レギュラーガソリン95号,レギュラーガソリン95号
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
电动机,モーター,电机类型,モーター種類,-,-,-,-,-,-,-,交流同期モーター,交流同期モーター,交流同期モーター,-,-,-
电动机,モーター,电动机总功率(kW),モーター総出力(kW),-,-,-,-,-,-,-,100,100,100,-,-,-
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),-,-,-,-,-,-,-,136,136,136,-,-,-
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),-,-,-,-,-,-,-,320,320,320,-,-,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,-,-,-,-,-,100,100,100,-,-,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,-,-,-,-,-,320,320,320,-,-,-
电动机,モーター,驱动电机数,駆動モーター数,-,-,-,-,-,-,-,単モーター,単モーター,単モーター,-,-,-
电动机,モーター,电机布局,モーター配置,-,-,-,-,-,-,-,前置エンジン,前置エンジン,前置エンジン,-,-,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,-,-,-,-,-,-,-,● 三元リチウム電池,● 三元リチウム電池,● 三元リチウム電池,-,-,-
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,-,-,-,-,-,-,-,● シンワンダ製バッテリー,● シンワンダ製バッテリー,● シンワンダ製バッテリー,-,-,-
电池/充电,バッテリー/充電,NEDC综合续航(km),NEDC総合航続距離(km),-,-,-,-,-,-,-,1279,1279,1279,-,-,-
变速箱,トランスミッション,简称,略称,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,3速DHT（ハイブリッド専用トランスミッション）,3速DHT（ハイブリッド専用トランスミッション）,3速DHT（ハイブリッド専用トランスミッション）,7速湿式DCT（デュアルクラッチトランスミッション）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）
变速箱,トランスミッション,挡位个数,段数,8,8,8,8,8,8,8,3,3,3,7,8,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,AT（マニュアルモード付）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,ハイブリッド専用トランスミッション（DHT）,湿式デュアルクラッチトランスミッション（DCT）,AT（マニュアルモード付）,AT（マニュアルモード付）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置四輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,● 走行状況に応じた四輪駆動（オンデマンド4WD）,-,-,-,● 走行状況に応じた四輪駆動（オンデマンド4WD）,-,-,-,-,-,-
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,● 多板クラッチ,-,-,-,● 多板クラッチ,-,-,-,-,-,-
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 245/45 R20タイヤ,● 245/45 R20タイヤ,● 245/45 R20タイヤ,● 235/50 R19タイヤ,● 245/45 R20タイヤ,● 245/45 R20タイヤ,● 245/45 R20タイヤ,● 235/50 R19タイヤ,● 245/45 R20タイヤ,● 245/45 R20タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ,● 245/45 R20タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 245/45 R20タイヤ,● 245/45 R20タイヤ,● 245/45 R20タイヤ,● 235/50 R19タイヤ,● 245/45 R20タイヤ,● 245/45 R20タイヤ,● 245/45 R20タイヤ,● 235/50 R19タイヤ,● 245/45 R20タイヤ,● 245/45 R20タイヤ,● 235/50 R19タイヤ,● 235/50 R19タイヤ,● 245/45 R20タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし,● フルサイズスペアタイヤなし
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納,● トランク内収納
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター,● タイヤ空気圧モニター
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席のみ,● 前席のみ,● 前席のみ,● 前席のみ,● 前席のみ,● 前席のみ,● 前席のみ,● 全席対応,● 全席対応,● 全席対応,● 前席のみ,● 全席対応,● 全席対応
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,○,●,-,-,-,-,-,●,●,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●,●,●,●,-,●,●,-,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●,●,●,●,-,●,●,-,-,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,-,-,-,-,-,-,-,●,●,●,-,-,-
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,●,●,●,●,●,●,●,○,○,○,-,-,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● モード：スポーツ、エコ、標準/快適、スノー,● モード：スポーツ、エコ、標準/快適、スノー,● スポーツ 経済 標準/快適 オフロード 雪道,● モード：スポーツ、エコ、標準/快適、スノー,● モード：スポーツ、エコ、標準/快適、スノー,● モード：スポーツ、エコ、標準/快適、スノー,● スポーツ 経済 標準/快適 オフロード 雪道,● スポーツ 経済 標準/快適 雪道 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 雪道 カスタム/パーソナライズ,● スポーツ 経済 標準/快適 雪道 カスタム/パーソナライズ,● モード：スポーツ、エコ、標準/快適、スノー,● モード：スポーツ、エコ、標準/快適、スノー,● モード：スポーツ、エコ、標準/快適、スノー
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,-,-,-,-,-,-,-,-,-,-,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,-,-,-,-,-,-,-,●,●,●,-,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,● サスペンション硬さ調整,● サスペンション硬さ調整,-,-,● サスペンション硬さ調整,● サスペンション硬さ調整,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像,● 360度パノラマ映像
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,-,○ ホライゾンジャーニー6M,● ホライゾンジャーニー6M,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,-,○ 128 TOPS,● 128 TOPS,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼,● 単眼,● 双眼,● 単眼,● 単眼,● 単眼,● 単眼,-,-,-,● 単眼,● 単眼,● 単眼
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 5個,● 5個,● 11個,● 5個,● 5個,● 5個,● 5個,● 6個,● 6個,● 6個,● 5個,● 5個,● 5個
